Package;Class;Case;Execution;Result;TotalTime;NumInteractions;NumFallbacks
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardOnExistingNote;7;pass;18532;10;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardOnExistingNote;8;pass;18502;10;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardOnExistingNote;9;pass;18514;10;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardOnExistingNote;10;pass;18697;10;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testTimestamp;1;pass;12469;7;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testTimestamp;2;pass;12416;7;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testTimestamp;3;pass;12425;7;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testTimestamp;4;pass;12633;7;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testTimestamp;5;pass;12506;7;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testTimestamp;6;pass;12365;7;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testTimestamp;7;pass;12409;7;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testTimestamp;8;pass;12401;7;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testTimestamp;9;pass;12479;7;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testTimestamp;10;pass;12481;7;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testSketch;1;pass;18069;11;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testSketch;2;pass;17389;11;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testSketch;3;pass;17289;11;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testSketch;4;pass;17318;11;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testSketch;5;pass;17278;11;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testSketch;6;pass;17230;11;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testSketch;7;pass;17411;11;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testSketch;8;pass;17315;11;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testSketch;9;pass;17449;11;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testSketch;10;pass;17339;11;0
